"date_reported","type","ctar","id_ctar","distcode","commcode","known_cat1","source","no_patients"
2016-08-03,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-08-03,"new","Moramanga",8,"MG33314","MG33314190",0,"Moramanga",1
2016-08-04,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-08-08,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-08-08,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",1
2016-08-09,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-08-09,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-08-10,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-08-11,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-08-11,"new","Moramanga",8,"MG33314","MG33314350",0,"Moramanga",1
2016-08-15,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-08-16,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-08-16,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-08-19,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
2016-08-19,"new","Moramanga",8,"MG33314","MG33314190",0,"Moramanga",1
2016-08-21,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",3
2016-08-22,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-08-22,"new","Moramanga",8,"MG33314","MG33314350",0,"Moramanga",2
2016-08-23,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-08-24,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2016-08-24,"new","Moramanga",8,"MG33314","MG33314350",0,"Moramanga",1
2016-08-25,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-08-25,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-08-26,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-08-30,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-08-31,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-09-02,"transfer","Moramanga",8,"MG14111","MG14111030",0,"Moramanga",1
2016-09-03,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-03,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-09-05,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-05,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",1
2016-09-07,"new","Moramanga",8,"MG33314","MG33314130",0,"Moramanga",1
2016-09-07,"new","Moramanga",8,"MG33314","MG33314190",0,"Moramanga",1
2016-09-07,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",2
2016-09-09,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-10,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2016-09-10,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-09-12,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-09-12,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-09-12,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",2
2016-09-14,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-09-14,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2016-09-14,"new","Moramanga",8,"MG33314","MG33314330",0,"Moramanga",1
2016-09-15,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
